"id","name","slug","category","file","source_url","origin","bytes","sha256"
"GDT-0534","Hiperextensão com Torção","hiperextensao-com-torcao","Eretor Lombar","gifs/eretor-lombar/hiperextensao-com-torcao.gif","https://www.gifdotreino.com/Exercicios/Eretor%20Lombar/Hiperextens%C3%A3o%20com%20Tor%C3%A7%C3%A3o.gif","catalog-api","3034616","1c7df02867b4a29b4a9704b88737b7d39824b0392e4128b73a4f77b2eee5ea00"
"GDT-0533","Hiperextensão de Lombar no Banco Plano","hiperextensao-de-lombar-no-banco-plano","Eretor Lombar","gifs/eretor-lombar/hiperextensao-de-lombar-no-banco-plano.gif","https://www.gifdotreino.com/Exercicios/Eretor%20Lombar/Hiperextens%C3%A3o%20de%20Lombar%20no%20Banco%20Plano.gif","catalog-api","1943845","7779a7c65ff0b29fd11715ffbae4c956c8b30b1da5437daf0ce62121dcdd776b"
"GDT-0531","Hiperextensão Invertida de Sapo","hiperextensao-invertida-de-sapo","Eretor Lombar","gifs/eretor-lombar/hiperextensao-invertida-de-sapo.gif","https://www.gifdotreino.com/Exercicios/Eretor%20Lombar/Hiperextens%C3%A3o%20Invertida%20de%20Sapo.gif","catalog-api","2106219","d95352ccc6e7b51d292a779f5e41140bfb93e696a7d60c6704e53c761599375e"
"GDT-0536","Hiperextensão no Chão","hiperextensao-no-chao","Eretor Lombar","gifs/eretor-lombar/hiperextensao-no-chao.gif","https://www.gifdotreino.com/Exercicios/Eretor%20Lombar/Hiperextens%C3%A3o%20no%20Ch%C3%A3o.gif","catalog-api","2827345","03e6d51b3150486114b2520a040f0f5373400f1da74ac0531301b93131162887"
"GDT-0532","Hiperextensão Reversa com Faixa de Resistência","hiperextensao-reversa-com-faixa-de-resistencia","Funcional e HIT","gifs/funcional-e-hit/hiperextensao-reversa-com-faixa-de-resistencia.gif","https://www.gifdotreino.com/Exercicios/Funcional%20e%20HIT/Hiperextens%C3%A3o%20Reversa%20com%20Faixa%20de%20Resist%C3%AAncia.gif","catalog-api","2765276","d323698d14233764d5922c7d01c4bffce78c33ad135da2a27fb2de5ef175a276"
"GDT-0537","Impossible Dips","impossible-dips","Calistenia","gifs/calistenia/impossible-dips.gif","https://www.gifdotreino.com/Exercicios/Calistenia/Impossible%20Dips.gif","catalog-api","2492108","50efa691b4b464e23435d04f1831d32d6d6342eff7634e1261bc77b04cc27ebf"
"GDT-0539","Impulso com barra","impulso-com-barra","Crossfit","gifs/crossfit/impulso-com-barra.gif","https://www.gifdotreino.com/Exercicios/Crossfit/Impulso%20com%20barra.gif","catalog-api","3623696","8630325ef32cf85aa7250ffbe7dcf22db836222e962df104b83c3f70e616c9e4"
"GDT-0538","Inclinação Lateral","inclinacao-lateral","Mobilidade","gifs/mobilidade/inclinacao-lateral.gif","https://www.gifdotreino.com/Exercicios/Mobilidade/Inclina%C3%A7%C3%A3o%20Lateral.gif","catalog-api","2620355","c3441eb2e8b6abb216015dafff338abc5c93d19f7d7d0b76f0f3d6ba569fdd44"
"GDT-0541","Inclinação Lateral em Pé","inclinacao-lateral-em-pe","Mobilidade","gifs/mobilidade/inclinacao-lateral-em-pe.gif","https://www.gifdotreino.com/Exercicios/Mobilidade/Inclina%C3%A7%C3%A3o%20Lateral%20em%20P%C3%A9.gif","catalog-api","1899007","ab6a2325c255a3c62d49a6497639616168e493b3878a3b7a20303f6479b93388"
"GDT-0540","Inclinação Pélvica","inclinacao-pelvica","Funcional e HIT","gifs/funcional-e-hit/inclinacao-pelvica.gif","https://www.gifdotreino.com/Exercicios/Funcional%20e%20HIT/Inclina%C3%A7%C3%A3o%20P%C3%A9lvica.gif","catalog-api","2702950","f091bb852bb3acc0048f2ecab0fdda74f3c2372f71e42fbc37755458b775b9a2"
